Variables:,q,c1,c2,c3,c4,c5,e1,e2,e3,e4,e5
Type:,Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Data:,0,1.406E+04,1.417E+05,2.091E+05,3.762E+05,-1.247E+05,15.58,22.95,50.83,830.27,610.63
Data:,1,1.546E+04,3.281E+04,1.002E+05,1.075E+05,0.000E+00,26.55,33.61,66.02,343.63,0.00
Data:,2,1.868E+04,5.099E+04,4.966E+04,0.000E+00,0.000E+00,41.07,72.86,549.98,0.00,0.00
Data:,3,1.306E+04,2.714E+04,2.372E+04,0.000E+00,0.000E+00,54.51,94.83,644.30,0.00,0.00
Data:,4,7.316E+03,1.883E+04,1.234E+04,0.000E+00,0.000E+00,69.87,118.57,868.54,0.00,0.00
Data:,5,5.979E+03,2.458E+04,-9.476E+03,3.238E+04,5.834E+04,87.51,158.67,246.07,427.93,2077.08
Data:,6,8.811E+03,2.377E+04,5.288E+04,-1.707E+03,0.000E+00,126.49,237.26,1424.30,416.58,0.00
Data:,7,9.250E+03,2.346E+04,5.640E+04,0.000E+00,0.000E+00,136.37,262.98,1702.96,0.00,0.00
Data:,8,5.847E+03,2.109E+04,1.301E+04,3.524E+04,0.000E+00,260.14,445.85,1266.07,2878.08,0.00
Data:,9,5.697E+03,1.709E+04,2.932E+04,0.000E+00,0.000E+00,301.07,517.88,2012.08,0.00,0.00
Data:,10,5.644E+03,1.432E+04,2.433E+04,0.000E+00,0.000E+00,341.36,591.72,2718.66,0.00,0.00
Data:,11,4.571E+03,1.180E+04,1.886E+04,0.000E+00,0.000E+00,389.64,678.71,3113.23,0.00,0.00
Data:,12,3.941E+03,9.655E+03,1.492E+04,0.000E+00,0.000E+00,438.03,766.41,3450.50,0.00,0.00
Data:,13,3.570E+03,7.958E+03,1.142E+04,0.000E+00,0.000E+00,483.68,875.78,4003.90,0.00,0.00
Data:,14,2.663E+03,6.650E+03,9.209E+03,0.000E+00,0.000E+00,537.92,965.62,4332.71,0.00,0.00
Data:,15,2.201E+03,5.708E+03,7.076E+03,0.000E+00,0.000E+00,589.93,1096.03,4887.20,0.00,0.00
Data:,16,1.649E+03,4.844E+03,5.704E+03,0.000E+00,0.000E+00,648.72,1210.93,5506.10,0.00,0.00
Data:,17,1.279E+03,4.318E+03,4.477E+03,0.000E+00,0.000E+00,712.87,1381.41,6719.05,0.00,0.00
Data:,18,9.871E+02,3.710E+03,3.095E+03,0.000E+00,0.000E+00,883.88,1663.24,7974.53,0.00,0.00
Data:,19,8.580E+02,3.288E+03,2.444E+03,0.000E+00,0.000E+00,947.85,1797.41,9802.75,0.00,0.00
Data:,20,6.411E+02,2.496E+03,1.241E+03,0.000E+00,0.000E+00,1000.50,1749.15,4742.56,0.00,0.00
Data:,21,5.811E+02,2.462E+03,1.619E+03,0.000E+00,0.000E+00,1076.40,1953.53,12336.39,0.00,0.00
Data:,22,4.583E+02,2.210E+03,0.000E+00,0.000E+00,0.000E+00,1142.83,2036.01,0.00,0.00,0.00
Data:,23,3.531E+02,1.710E+03,0.000E+00,0.000E+00,0.000E+00,1226.66,2022.62,0.00,0.00,0.00
Data:,24,2.294E+02,9.118E+02,0.000E+00,0.000E+00,0.000E+00,1322.52,2069.08,0.00,0.00,0.00
Data:,25,2.780E+02,9.747E+02,1.294E+03,0.000E+00,0.000E+00,1490.83,2474.87,12643.79,0.00,0.00
Data:,26,1.585E+02,4.708E+02,8.353E+02,0.000E+00,0.000E+00,3151.50,4376.41,10683.44,0.00,0.00
Data:,27,1.322E+02,4.041E+02,6.813E+02,0.000E+00,0.000E+00,3307.08,4642.69,11589.77,0.00,0.00
Data:,28,1.089E+02,3.269E+02,5.477E+02,0.000E+00,0.000E+00,3480.12,4893.65,12244.30,0.00,0.00
Data:,29,8.753E+01,2.642E+02,4.246E+02,0.000E+00,0.000E+00,3651.37,5192.76,13260.98,0.00,0.00
Data:,30,6.575E+01,1.798E+02,3.514E+02,0.000E+00,0.000E+00,3835.22,5301.31,13917.00,0.00,0.00
Data:,31,4.870E+01,1.357E+02,2.219E+02,0.000E+00,0.000E+00,4037.05,5829.10,14757.38,0.00,0.00
Data:,32,2.971E+01,1.013E+02,1.629E+02,0.000E+00,0.000E+00,4247.48,6543.01,22430.62,0.00,0.00
Data:,33,1.509E+01,4.924E+01,1.209E+02,0.000E+00,0.000E+00,4417.73,6797.18,25679.19,0.00,0.00
Data:,34,2.086E+00,1.146E+01,3.672E+01,0.000E+00,0.000E+00,17811.50,21181.29,45508.69,0.00,0.00
Data:,35,1.367E+00,9.615E+00,3.939E+01,0.000E+00,0.000E+00,18562.84,24656.75,113860.55,0.00,0.00
Data:,36,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00,0.00,0.00,0.00,0.00
